"minlon" "maxlon" "minlat" "maxlat" "mindepth" "maxdepth" "minmag" "maxmag" "rate" "mask"
-125.4 -125.3 40.1 40.2 0 30 3.05 3.15 0.00484218542884784 1
-125.4 -125.3 40.2 40.3 0 30 3.05 3.15 0.0318012202930637 1
-125.4 -125.3 40.3 40.4 0 30 3.05 3.15 0.306011745179893 1
-125.4 -125.3 40.4 40.5 0 30 3.05 3.15 0.702026851351156 1
-125.4 -125.3 40.5 40.6 0 30 3.05 3.15 0.0708027080193406 1
-125.4 -125.3 40.6 40.7 0 30 3.05 3.15 0.421816162837988 1
-125.4 -125.3 40.7 40.8 0 30 3.05 3.15 0.112204280301070 1
-125.4 -125.3 40.8 40.9 0 30 3.05 3.15 0.0234608949327999 1
-125.4 -125.3 40.9 41 0 30 3.05 3.15 0.0316212134041432 1
-125.4 -125.3 41 41.1 0 30 3.05 3.15 0.0547220946201278 1
-125.3 -125.2 40 40.1 0 30 3.05 3.15 0.00063002410511591 1
-125.3 -125.2 40.1 40.2 0 30 3.05 3.15 0.00216608262699619 1
-125.3 -125.2 40.2 40.3 0 30 3.05 3.15 0.0119404554709354 1
-125.3 -125.2 40.3 40.4 0 30 3.05 3.15 0.133205081403006 1
-125.3 -125.2 40.4 40.5 0 30 3.05 3.15 0.453017352530305 1
-125.3 -125.2 40.5 40.6 0 30 3.05 3.15 0.0286210989439970 1
-125.3 -125.2 40.6 40.7 0 30 3.05 3.15 0.0792030213199807 1
-125.3 -125.2 40.7 40.8 0 30 3.05 3.15 0.0354013576240731 1
-125.3 -125.2 40.8 40.9 0 30 3.05 3.15 0.0161406157171833 1
-125.3 -125.2 40.9 41 0 30 3.05 3.15 0.018420702684743 1
-125.3 -125.2 41 41.1 0 30 3.05 3.15 0.0123604714977132 1
-125.3 -125.2 41.1 41.2 0 30 3.05 3.15 0.00972037079699672 1
-125.3 -125.2 41.2 41.3 0 30 3.05 3.15 0.00708027080193406 1
-125.3 -125.2 41.3 41.4 0 30 3.05 3.15 0.00447017123296825 1
-125.3 -125.2 41.4 41.5 0 30 3.05 3.15 0.00296411378326853 1
-125.3 -125.2 41.5 41.6 0 30 3.05 3.15 0.00199807622102827 1
-125.3 -125.2 41.6 41.7 0 30 3.05 3.15 0.00157806019728848 1
-125.3 -125.2 41.7 41.8 0 30 3.05 3.15 0.00124204737945912 1
-125.3 -125.2 41.8 41.9 0 30 3.05 3.15 0.00127804875131564 1
-125.3 -125.2 41.9 42 0 30 3.05 3.15 0.00157205996643796 1
-125.3 -125.2 42 42.1 0 30 3.05 3.15 0.00194407415922091 1
-125.3 -125.2 42.1 42.2 0 30 3.05 3.15 0.00160806134216152 1
-125.3 -125.2 42.2 42.3 0 30 3.05 3.15 0.00111004234175205 1
-125.3 -125.2 42.3 42.4 0 30 3.05 3.15 0.000624023875923523 1
-125.2 -125.1 39.8 39.9 0 30 3.05 3.15 0.000215408216604225 1
-125.2 -125.1 39.9 40 0 30 3.05 3.15 0.000332412752153522 1
-125.2 -125.1 40 40.1 0 30 3.05 3.15 0.000571821884830324 1
-125.2 -125.1 40.1 40.2 0 30 3.05 3.15 0.00210608033778230 1
-125.2 -125.1 40.2 40.3 0 30 3.05 3.15 0.0118804531963987 1
-125.2 -125.1 40.3 40.4 0 30 3.05 3.15 0.186607118610716 1
-125.2 -125.1 40.4 40.5 0 30 3.05 3.15 0.360013804757415 1
-125.2 -125.1 40.5 40.6 0 30 3.05 3.15 0.0238209086618488 1
-125.2 -125.1 40.6 40.7 0 30 3.05 3.15 0.0342013118510146 1
-125.2 -125.1 40.7 40.8 0 30 3.05 3.15 0.0348013347225673 1
-125.2 -125.1 40.8 40.9 0 30 3.05 3.15 0.0113404326015767 1
-125.2 -125.1 40.9 41 0 30 3.05 3.15 0.00870033188243466 1
-125.2 -125.1 41 41.1 0 30 3.05 3.15 0.0182406957990818 1
-125.2 -125.1 41.1 41.2 0 30 3.05 3.15 0.00684026164272611 1
-125.2 -125.1 41.2 41.3 0 30 3.05 3.15 0.00876033417647216 1
-125.2 -125.1 41.3 41.4 0 30 3.05 3.15 0.00828031586147876 1
-125.2 -125.1 41.4 41.5 0 30 3.05 3.15 0.00597622869272591 1
-125.2 -125.1 41.5 41.6 0 30 3.05 3.15 0.00282010829324349 1
-125.2 -125.1 41.6 41.7 0 30 3.05 3.15 0.00196807507442354 1
-125.2 -125.1 41.7 41.8 0 30 3.05 3.15 0.00168006408602681 1
-125.2 -125.1 41.8 41.9 0 30 3.05 3.15 0.00171006523260697 1
-125.2 -125.1 41.9 42 0 30 3.05 3.15 0.00171006523260697 1
-125.2 -125.1 42 42.1 0 30 3.05 3.15 0.0020820794246726 1
-125.2 -125.1 42.1 42.2 0 30 3.05 3.15 0.00225608606234286 1
-125.2 -125.1 42.2 42.3 0 30 3.05 3.15 0.00231608835406624 1
-125.2 -125.1 42.3 42.4 0 30 3.05 3.15 0.00173406615045745 1
-125.2 -125.1 42.4 42.5 0 30 3.05 3.15 0.000792030213199807 1
-125.2 -125.1 42.5 42.6 0 30 3.05 3.15 0.000349213393071932 1
-125.2 -125.1 42.6 42.7 0 30 3.05 3.15 0.000205207827773693 1
-125.2 -125.1 42.7 42.8 0 30 3.05 3.15 0.000171006523260697 1
-125.2 -125.1 42.8 42.9 0 30 3.05 3.15 0.000252609635987016 1
-125.2 -125.1 42.9 43 0 30 3.05 3.15 0.000906034560497382 1
-125.1 -125 39.7 39.8 0 30 3.05 3.15 0.000117604486255662 1
-125.1 -125 39.8 39.9 0 30 3.05 3.15 0.000189007210063415 1
-125.1 -125 39.9 40 0 30 3.05 3.15 0.000306611768004719 1
-125.1 -125 40 40.1 0 30 3.05 3.15 0.00073202792416961 1
-125.1 -125 40.1 40.2 0 30 3.05 3.15 0.00208807965392108 1
-125.1 -125 40.2 40.3 0 30 3.05 3.15 0.00678025935959953 1
-125.1 -125 40.3 40.4 0 30 3.05 3.15 0.182406957990818 1
-125.1 -125 40.4 40.5 0 30 3.05 3.15 0.220808422606034 1
-125.1 -125 40.5 40.6 0 30 3.05 3.15 0.0378014491545558 1
-125.1 -125 40.6 40.7 0 30 3.05 3.15 0.031681215677853 1
-125.1 -125 40.7 40.8 0 30 3.05 3.15 0.0552621151999314 1
-125.1 -125 40.8 40.9 0 30 3.05 3.15 0.0153605859487322 1
-125.1 -125 40.9 41 0 30 3.05 3.15 0.00756028839671484 1
-125.1 -125 41 41.1 0 30 3.05 3.15 0.0106804074263216 1
-125.1 -125 41.1 41.2 0 30 3.05 3.15 0.00846032272607006 1
-125.1 -125 41.2 41.3 0 30 3.05 3.15 0.0113404326015767 1
-125.1 -125 41.3 41.4 0 30 3.05 3.15 0.00876033417647216 1
-125.1 -125 41.4 41.5 0 30 3.05 3.15 0.00624023875923523 1
-125.1 -125 41.5 41.6 0 30 3.05 3.15 0.00248409475757936 1
-125.1 -125 41.6 41.7 0 30 3.05 3.15 0.00164406271356081 1
-125.1 -125 41.7 41.8 0 30 3.05 3.15 0.00142805447443498 1
-125.1 -125 41.8 41.9 0 30 3.05 3.15 0.00147005607632596 1
-125.1 -125 41.9 42 0 30 3.05 3.15 0.00168606431556209 1
-125.1 -125 42 42.1 0 30 3.05 3.15 0.00206407873568450 1
-125.1 -125 42.1 42.2 0 30 3.05 3.15 0.00250809567612207 1
-125.1 -125 42.2 42.3 0 30 3.05 3.15 0.00303011630769301 1
-125.1 -125 42.3 42.4 0 30 3.05 3.15 0.00308411836601866 1
-125.1 -125 42.4 42.5 0 30 3.05 3.15 0.00196807507442354 1
-125.1 -125 42.5 42.6 0 30 3.05 3.15 0.00117004463204728 1
-125.1 -125 42.6 42.7 0 30 3.05 3.15 0.000840032044064011 1
-125.1 -125 42.7 42.8 0 30 3.05 3.15 0.000792030213199807 1
-125.1 -125 42.8 42.9 0 30 3.05 3.15 0.000990037764904249 1
-125.1 -125 42.9 43 0 30 3.05 3.15 0.00073202792416961 1
-125 -124.9 39.5 39.6 0 30 3.05 3.15 5.32820396763528e-05 1
-125 -124.9 39.6 39.7 0 30 3.05 3.15 7.44028382088776e-05 1
-125 -124.9 39.7 39.8 0 30 3.05 3.15 0.000112804302934217 1
-125 -124.9 39.8 39.9 0 30 3.05 3.15 0.000225008583339796 1
-125 -124.9 39.9 40 0 30 3.05 3.15 0.000503419275417117 1
-125 -124.9 40 40.1 0 30 3.05 3.15 0.000978037308634283 1
-125 -124.9 40.1 40.2 0 30 3.05 3.15 0.00292811241298303 1
-125 -124.9 40.2 40.3 0 30 3.05 3.15 0.013080498961683 1
-125 -124.9 40.3 40.4 0 30 3.05 3.15 0.20640787356845 1
-125 -124.9 40.4 40.5 0 30 3.05 3.15 0.0708027080193406 1
-125 -124.9 40.5 40.6 0 30 3.05 3.15 0.0398415270018443 1
-125 -124.9 40.6 40.7 0 30 3.05 3.15 0.0249009498625098 1
-125 -124.9 40.7 40.8 0 30 3.05 3.15 0.0312611996411641 1
-125 -124.9 40.8 40.9 0 30 3.05 3.15 0.0171006523260697 1
-125 -124.9 40.9 41 0 30 3.05 3.15 0.00852032501704358 1
-125 -124.9 41 41.1 0 30 3.05 3.15 0.00786029983855902 1
-125 -124.9 41.1 41.2 0 30 3.05 3.15 0.0105004005459247 1
-125 -124.9 41.2 41.3 0 30 3.05 3.15 0.00666025477960478 1
-125 -124.9 41.3 41.4 0 30 3.05 3.15 0.0042781639180117 1
-125 -124.9 41.4 41.5 0 30 3.05 3.15 0.00283810898166918 1
-125 -124.9 41.5 41.6 0 30 3.05 3.15 0.00183006980944317 1
-125 -124.9 41.6 41.7 0 30 3.05 3.15 0.00134405127128182 1
-125 -124.9 41.7 41.8 0 30 3.05 3.15 0.00117604486255662 1
-125 -124.9 41.8 41.9 0 30 3.05 3.15 0.0012180464646026 1
-125 -124.9 41.9 42 0 30 3.05 3.15 0.00141005378798934 1
-125 -124.9 42 42.1 0 30 3.05 3.15 0.00183006980944317 1
-125 -124.9 42.1 42.2 0 30 3.05 3.15 0.00214808194586771 1
