"minlon" "maxlon" "minlat" "maxlat" "mindepth" "maxdepth" "minmag" "maxmag" "rate" "mask"
-122.1 -122 36.2 36.3 0 30 3.05 3.15 0.0218659936485707 1
-122.1 -122 36.3 36.4 0 30 3.05 3.15 0.022452077127141 1
-122.1 -122 36.4 36.5 0 30 3.05 3.15 0.0234277645647656 1
-122.1 -122 36.5 36.6 0 30 3.05 3.15 0.0251869212553028 1
-122 -121.9 36.2 36.3 0 30 3.05 3.15 0.0220626469904806 1
-122 -121.9 36.3 36.4 0 30 3.05 3.15 0.0226469618424652 1
-122 -121.9 36.4 36.5 0 30 3.05 3.15 0.0234277645647656 1
-122 -121.9 36.5 36.6 0 30 3.05 3.15 0.024991678580795 1
-122 -121.9 36.6 36.7 0 30 3.05 3.15 0.0279196709047001 1
-121.9 -121.8 36 36.1 0 30 3.05 3.15 0.0199143093524722 1
-121.9 -121.8 36.1 36.2 0 30 3.05 3.15 0.0210850072693481 1
-121.9 -121.8 36.2 36.3 0 30 3.05 3.15 0.0220626469904806 1
-121.9 -121.8 36.3 36.4 0 30 3.05 3.15 0.0226469618424652 1
-121.9 -121.8 36.4 36.5 0 30 3.05 3.15 0.0234295952928406 1
-121.9 -121.8 36.5 36.6 0 30 3.05 3.15 0.024991678580795 1
-121.9 -121.8 36.6 36.7 0 30 3.05 3.15 0.0281142988081103 1
-121.8 -121.7 35.6 35.7 0 30 3.05 3.15 0.0154435718525201 1
-121.8 -121.7 35.7 35.8 0 30 3.05 3.15 0.0168883345826534 1
-121.8 -121.7 36 36.1 0 30 3.05 3.15 0.0181182861071768 1
-121.8 -121.7 36.1 36.2 0 30 3.05 3.15 0.0205005039783122 1
-121.8 -121.7 36.2 36.3 0 30 3.05 3.15 0.0218677615029557 1
-121.8 -121.7 36.3 36.4 0 30 3.05 3.15 0.0226486266025313 1
-121.8 -121.7 36.4 36.5 0 30 3.05 3.15 0.0234295952928406 1
-121.8 -121.7 36.5 36.6 0 30 3.05 3.15 0.0249897331809053 1
-121.8 -121.7 36.6 36.7 0 30 3.05 3.15 0.0271381916076617 1
-121.8 -121.7 36.7 36.8 0 30 3.05 3.15 0.0310422884789542 1
-121.7 -121.6 35.4 35.5 0 30 3.05 3.15 0.0140182505823362 1
-121.7 -121.6 35.5 35.6 0 30 3.05 3.15 0.0148187235511276 1
-121.7 -121.6 35.6 35.7 0 30 3.05 3.15 0.0156191389578673 1
-121.7 -121.6 35.7 35.8 0 30 3.05 3.15 0.0162438191401202 1
-121.7 -121.6 35.9 36 0 30 3.05 3.15 0.0186259875297333 1
-121.7 -121.6 36 36.1 0 30 3.05 3.15 0.0158534864882915 1
-121.7 -121.6 36.1 36.2 0 30 3.05 3.15 0.0195243571419011 1
-121.7 -121.6 36.2 36.3 0 30 3.05 3.15 0.0216710917793580 1
-121.7 -121.6 36.3 36.4 0 30 3.05 3.15 0.0226469618424652 1
-121.7 -121.6 36.4 36.5 0 30 3.05 3.15 0.0234295952928406 1
-121.7 -121.6 36.5 36.6 0 30 3.05 3.15 0.0247952839868167 1
-121.7 -121.6 36.6 36.7 0 30 3.05 3.15 0.0273332559699798 1
-121.6 -121.5 35.2 35.3 0 30 3.05 3.15 0.0122610097770720 1
-121.6 -121.5 35.3 35.4 0 30 3.05 3.15 0.0132178189262860 1
-121.6 -121.5 35.4 35.5 0 30 3.05 3.15 0.0141745639883517 1
-121.6 -121.5 35.5 35.6 0 30 3.05 3.15 0.0149749889979595 1
-121.6 -121.5 35.6 35.7 0 30 3.05 3.15 0.0156191389578673 1
-121.6 -121.5 35.7 35.8 0 30 3.05 3.15 0.0146233833421466 1
-121.6 -121.5 35.8 35.9 0 30 3.05 3.15 0.0141158952566005 1
-121.6 -121.5 35.9 36 0 30 3.05 3.15 0.0163610737906053 1
-121.6 -121.5 36 36.1 0 30 3.05 3.15 0.0145648586865124 1
-121.6 -121.5 36.1 36.2 0 30 3.05 3.15 0.0180987171899742 1
-121.6 -121.5 36.2 36.3 0 30 3.05 3.15 0.0208916403201574 1
-121.6 -121.5 36.3 36.4 0 30 3.05 3.15 0.0222571762562736 1
-121.6 -121.5 36.4 36.5 0 30 3.05 3.15 0.0234295952928406 1
-121.6 -121.5 36.5 36.6 0 30 3.05 3.15 0.0249897331809053 1
-121.6 -121.5 36.6 36.7 0 30 3.05 3.15 0.0269437182050789 1
-121.5 -121.4 35 35.1 0 30 3.05 3.15 0.00900064042387807 1
-121.5 -121.4 35.1 35.2 0 30 3.05 3.15 0.0104649359085002 1
-121.5 -121.4 35.2 35.3 0 30 3.05 3.15 0.012417282405371 1
-121.5 -121.4 35.3 35.4 0 30 3.05 3.15 0.0135496558413994 1
-121.5 -121.4 35.4 35.5 0 30 3.05 3.15 0.0145063518080431 1
-121.5 -121.4 35.5 35.6 0 30 3.05 3.15 0.0153067652842808 1
-121.5 -121.4 35.6 35.7 0 30 3.05 3.15 0.0141548057164883 1
-121.5 -121.4 35.7 35.8 0 30 3.05 3.15 0.0139597757226203 1
