"Longitude" "Latitude" "dt" "Magnitude" "lambda" "type"
-120.95 35.31 3.99790509259259 3.13 0.00630043149878825 1
-122.05 37.09 4.58738425925926 3.14 0.0083459737252702 1
-121.51 37.38 14.4459143518519 3.6 0.00305229320133482 1
-118.6 38.63 22.3325578703704 3.93 0.00577964259833093 1
-119.81 34.24 35.6552546296296 3.3 0.00404537384740001 1
-119.91 35.82 36.2053125 3.25 0.00854230110059102 1
-117.56 35.12 61.5722800925926 3.71 0.00391373815606106 1
-119.39 33.79 65.3697916666667 3.13 0.00468788110772917 1
-117.53 35.57 78.7828935185185 3.43 0.00507146434018362 1
-119.88 35.96 91.3034375 3.08 0.00900055278026937 1
-119.01 39.08 94.460613425926 3.39 0.00383401563909916 1
-123.56 40.91 102.695023148148 3.24 0.00569019927066334 1
-116.06 36.71 106.801979166667 3.29 0.00630156120783089 1
-123.14 38.95 119.722361111111 3.28 0.00907666034509713 1
-122.73 39.56 121.4196875 3.14 0.00336445211341857 1
-121.52 35.69 133.685277777778 3.53 0.00151518549234256 1
-120.16 39.4 146.096851851852 3.15 0.0103646844354702 1
-121.49 37.1 165.475590277778 4.3 0.00372740572564792 1
-120.6 39.55 174.00369212963 3.22 0.00326515116370579 1
-123.12 39.45 183.489479166667 3.36 0.0099274458126248 1
-123.46 38.5 186.821805555556 3.7 0.000671567346728635 1
-117.11 33.86 190.079675925926 3.9 0.0083278191993411 1
-116.43 35.52 199.516203703704 3.49 0.00262390419017642 1
-117.48 33.73 203.624212962963 3.69 0.00593008527423195 1
-117.6 37.26 231.964756944444 3.41 0.00684490563393001 1
-123.36 39.73 237.075949074074 3.27 0.00420421369296478 1
-118.28 37.31 249.027083333333 3.4 0.00435986797317233 1
-122.07 40.15 320.565011574074 3.5 0.00339898938597388 1
-117.44 32.48 330.099340277778 3.06 0.00348998414278368 1
-120.75 35.63 331.171296296296 3.8 0.00867331280733028 1
-122.26 38.65 332.139143518518 3.23 0.00251373245758446 1
-118.22 37.49 332.551956018519 3.08 0.00420605272660376 1
-116.91 36.4 333.842326388889 3.26 0.00639196986050489 1
-117.5 36.83 349.179421296296 3.43 0.0043257890367879 1
-118.69 33.17 351.459560185185 3.24 0.0103251184334811 1
-124.57 40.96 414.27974537037 3.26 0.00616825639486325 1
-119.87 37.07 419.708854166667 3.08 0.00117370593801777 1
-121.08 37.31 420.710034722222 3.5 0.000905716245460044 1
-122.11 37.9 425.194456018519 4.2 0.0084577709331273 1
-117.95 34.18 458.435451388889 3.49 0.00509815474458936 1
-120.84 35.6 458.817581018519 3.29 0.0079684772519102 1
-121.88 40.65 467.966180555556 3.07 0.00306386191141473 1
-121.51 34.66 472.428449074074 4 0.00681068680968809 1
-119.93 34.22 477.131226851852 3.19 0.00448782957641334 1
-117.39 34.2 508.216435185185 3.86 0.0070149048832317 1
-122.46 38.43 508.625925925926 3.31 0.00258052587324085 1
-119.23 34.88 519.3021875 3.74 0.00756804613825269 1
-123.73 40.26 538.898252314815 3.54 0.0105766060999969 1
-124.82 41.12 540.064178240741 5 0.00607139199534281 1
-119.68 34.87 553.269224537037 3.74 0.000745116900668933 1
-115.88 32.43 563.35837962963 3.3 0.00476173169314634 1
-120.43 36.09 578.448657407407 3.07 0.00281566760435670 1
-117.34 32.77 606.370231481481 3.52 0.00574643098877928 1
-122.39 38.86 624.571770833333 3.6 0.00457396388680031 1
-118.55 39.03 632.212708333333 3.27 0.00780468242308167 1
-115.8 35.77 634.974560185185 3.22 0.00156636995580285 1
-117.13 32.7 637.343668981482 3.1 0.00420438644521172 1
-123.47 40.89 655.917604166667 3.25 0.00957108316591603 1
-121.16 40.03 703.451018518518 3.07 0.00475266432449458 1
-122.66 39.83 704.63412037037 3.47 0.00825267743476334 1
-116.4 32.41 706.232349537037 3.15 0.0052163336541218 1
-123.52 41.01 713.156921296296 3.07 0.00402403726334625 1
-122.76 40.17 748.721365740741 4.5 0.00350198944376678 1
-121.02 40.18 758.170625 3.22 0.00832259135557735 1
-117.51 32.37 765.377511574074 3.39 0.00413821496950002 1
-118.03 36.58 778.635787037037 3.77 0.00687476720086272 1
-118.92 33.02 779.011539351852 3.2 0.000745840981832471 1
-123.86 40.88 784.541921296296 3.37 0.0105515805476673 1
-119.93 39.52 797.421527777778 3.35 0.00245415244781529 1
-120.29 39.59 802.705810185185 3.14 0.00405160098853336 1
-121.8 37.93 816.292777777778 3.14 0.00298509565409671 1
-123.5 40.84 850.085497685185 5.4 0.0100741266820682 1
-117.31 36 851.828796296296 3.13 0.00556136371764617 1
-117.01 35.9 859.91636574074 3.32 0.00593851069736733 1
-117.35 35.27 870.08324074074 3.73 0.00479879818881839 1
-122.18 38.24 885.061851851852 3.96 0.00741489529483568 1
-119.63 40.47 894.72991898148 3.7 0.00399112436148304 1
-121.98 40.43 898.27675925926 3.4 0.00402644177486823 1
-119.7 40.59 900.894502314815 3.12 0.00918380091345572 1
-120.45 39.19 915.144398148148 3.22 0.00577971148301121 1
-116.39 32.38 917.00287037037 3.21 0.00912585055842158 1
-119.11 35.49 926.399814814815 3.15 0.00241141158928343 1
-118.74 37.33 946.794027777778 3.73 0.0099716942836874 1
-121.72 41.43 949.716423611111 3.4 0.00071007756475496 1
-119.69 34.98 950.50957175926 3.14 0.00102393655379736 1
-124.22 41.19 959.206238425926 4.6 0.00471103740693807 1
-122.84 38.63 982.486747685185 3.08 0.00708596432516528 1
-118.93 33.04 986.324224537037 3.16 0.00689781648633753 1
-119.43 35.19 991.688993055556 3.33 0.00269718809618027 1
-116.68 34.84 1000.91334490741 3.06 0.00728345470229542 1
-116.76 35.89 1012.16469907407 3.23 0.00709637315244509 1
-119.41 39.45 1030.19568287037 3.47 0.00855148442288469 1
-121.92 36.53 1035.07398148148 3.28 0.000566964154938681 1
-117.91 36.21 1073.15356481481 3.1 0.00829685988498385 1
-120.21 39.7 1074.09460648148 3.05 0.00521569255560358 1
-123.34 39.03 1105.38762731481 3.8 0.00198038862271174 1
-118.23 32.69 1124.36248842593 4.19 0.00384872330592752 1
-117.79 35.41 1126.8815162037 4.39 0.00875280341592185 1
-118.83 38.15 1130.20402777778 3.08 0.0093457052017913 1
-119.43 35.3 1142.04420138889 3.89 0.0107412823012569 1
-121.36 34.7 1148.75956018519 3.43 0.00746166396640532 1
-123.67 39.01 1148.80318287037 3.08 0.00100100613626865 1
-125.19 41.34 1169.89988425926 3.3 0.0082916996631241 1
-120.94 35.57 1188.87623842593 3.16 0.00642224074223694 1
-114.78 32.14 1191.53371527778 3.3 0.00229819023912531 1
-121.49 41.01 1208.29040509259 3.09 0.00102300206695960 1
-116.24 34.49 1211.17392361111 3.07 0.00926651043239186 1
-119.31 35.02 1216.61070601852 3.53 0.00362993215530045 1
-117.7 36.71 1217.9422337963 3.26 0.000959911452904336 1
-114.54 31.71 1226.89988425926 4.1 0.000313112041141339 1
-118.19 36.78 1229.63574074074 3.3 0.00662821767819255 1
-118.01 32.9 1266.0003587963 4.11 0.00333703836240917 1
-122.8 40.19 1273.68721064815 3.82 0.00557226916835783 1
-117.55 32.74 1287.56578703704 3.92 0.00554820778606366 1
-116.22 33.1 1296.46552083333 3.63 0.0106290780064739 1
-121.07 37.31 1300.48320601852 3.15 0.0059788608919591 1
-117.38 34.26 1308.49717592593 3.72 0.00633800233685643 1
-117.4 36.01 1334.25584490741 3.59 0.00780417563896073 1
-120.53 34.53 1348.43244212963 3.83 0.00356648195795815 1
-117.42 35.41 1351.37115740741 3.37 0.00200058831823239 1
-123.5 39.29 1354.99508101852 3.45 0.00343674080557186 1
-122.69 38.63 1356.00159722222 3.12 0.00303637107310272 1
-114.55 35.96 1377.88465277778 3.85 0.00178825142461896 1
-121.88 37.64 1382.10255787037 3.71 0.00969513945206223 1
-119.14 34.16 1385.16232638889 3.19 0.0098397952633181 1
-119.3 33.17 1414.94822916667 4.35 0.000519955994874034 1
-117.27 35.55 1415.88994212963 4.6 0.00288353982164918 1
-123.34 39.78 1451.98662037037 3.96 0.00429836799331557 1
-117.48 35.71 1464.83888888889 3.39 0.0060017162799882 1
-118.82 39.01 1482.11978009259 3.29 0.00197963033885837 1
-119.31 40.77 1503.19273148148 3.17 0.00074079195682729 1
-116.79 37.65 1510.85219907407 3.12 0.000992798863138229 1
-120.05 39.82 1517.24394675926 3.11 0.00148596634114070 1
-118.08 33.99 1535.41944444444 4.44 0.00805211647358173 1
-119.37 38.82 1543.05628472222 3.19 0.00555657607817035 1
-120.42 33.94 1545.89853009259 3.44 0.00298572811175456 1
-118.9 38.32 1547.67614583333 3.08 0.00342925313760463 1
-120.38 36.57 1576.80207175926 3.34 0.00287457259468936 1
-120.28 33.78 1584.44329861111 3.4 0.00274917273488441 1
-119.25 35.02 1588.76605324074 4.28 0.0082752566758598 1
-115.57 33.83 1598.29861111111 3.54 0.00222886600354433 1
-120.55 33.88 1601.03106481481 3.05 0.00345182863120914 1
-118.99 37.81 1602.67091435185 3.27 0.00109946945114883 1
-123.09 39.21 1608.59891203704 3.18 0.0100870853401150 1
-120.48 39.88 1615.62253472222 3.28 0.00484642970055321 1
-117.57 37.91 1619.31150462963 3.12 0.00193271875527930 1
-117.52 37.45 1623.60376157407 4.54 0.00173342177418588 1
-117.18 31.99 1635.59115740741 3.7 0.00411856564410694 1
-119.62 40.08 1661.86701388889 4.22 0.00377462786258718 1
-116.27 34.48 1663.40927083333 3.07 0.0100246373251050 1
-122.51 37.67 1664.85358796296 3.15 0.0104056139704897 1
