"Longitude" "Latitude" "dt" "Magnitude" "lambda" "type"
-120.95 35.31 3.99790509259259 3.13 0.00801743614002981 1
-115.89 32.15 8.6341898148148 3.11 0.0103871994018294 1
-119.81 34.24 35.6552546296296 3.3 0.0134652701209110 1
-119.91 35.82 36.2053125 3.25 0.0149906636138745 1
-115.88 32.06 44.4446643518518 3.1 0.0106752220845191 1
-119.39 33.79 65.3697916666667 3.13 0.00863919975959266 1
-118.26 32.83 70.2685416666667 3.21 0.00511452286923351 1
-117.64 35.93 72.6187268518518 3.15 0.0134928443736440 1
-119.88 35.96 91.3034375 3.08 0.0143307838815058 1
-116.06 36.71 106.801979166667 3.29 0.0011819466561688 1
-117.34 32.63 127.967789351852 3.63 0.0084056235518711 1
-121.52 35.69 133.685277777778 3.53 0.00790995911455522 1
-116.3 32.1 151.779363425926 3.09 0.0075621179406716 1
-116.43 35.52 199.516203703704 3.49 0.00882938767995568 1
-116.67 32.16 231.8225 3.13 0.00555059706840644 1
-120.78 35.47 237.32337962963 3.09 0.0119675579057841 1
-115.81 32.04 254.306423611111 3.1 0.00994679716517517 1
-117.68 35.94 283.413472222222 3.2 0.0149814329191460 1
-117.44 32.48 330.099340277778 3.06 0.006251478600868 1
-117.71 36.06 330.884918981481 3.88 0.0143710975463430 1
-120.75 35.63 331.171296296296 3.8 0.0115650081196863 1
-116.91 36.4 333.842326388889 3.26 0.0054984516193377 1
-117.5 36.83 349.179421296296 3.43 0.00742540569481552 1
-118.69 33.17 351.459560185185 3.24 0.00515117083526488 1
-118.33 36.3 364.035324074074 3.32 0.0143425323137650 1
-121.38 35.78 415.698761574074 3.8 0.0112706200935172 1
-117.67 32.84 415.736284722222 3.16 0.00914886871045842 1
-119.87 37.07 419.708854166667 3.08 0.00822675382687322 1
-120.81 35.52 439.27087962963 3.06 0.0117392534577103 1
-120.84 35.6 458.817581018519 3.29 0.0157081874421165 1
-118.95 34.07 464.519027777778 3.48 0.0151503476393308 1
-121.51 34.66 472.428449074074 4 0.00457051719277786 1
-118.22 32.74 528.087916666667 3.49 0.00731012186120782 1
-117.3 35.95 546.92818287037 3.1 0.00916423666946434 1
-119.68 34.87 553.269224537037 3.74 0.0150878067867734 1
-117.34 32.77 606.370231481481 3.52 0.0110454954802797 1
-115.82 32.19 614.255173611111 3.1 0.0136102573760962 1
-117.76 33 616.065763888889 3.95 0.0105669856812605 1
-116.29 34.8 627.584618055556 3.27 0.0132195001592681 1
-115.8 35.77 634.974560185185 3.22 0.00373275667054021 1
-117.13 32.7 637.343668981482 3.1 0.0121694761627238 1
-118.23 33.56 646.756331018518 3.12 0.0116001500571459 1
-118.3 35.43 683.026064814815 3.06 0.0143670850763786 1
-120.84 35.57 704.163159722222 3.3 0.0149575472425103 1
-116.4 32.41 706.232349537037 3.15 0.0114734986913765 1
-117.51 32.37 765.377511574074 3.39 0.00464945667555758 1
-118.92 33.02 779.011539351852 3.2 0.00356902096414661 1
-116.34 34.87 843.038530092593 4.14 0.0147504677428247 1
-117.31 36 851.828796296296 3.13 0.0107537486489477 1
-117.01 35.9 859.91636574074 3.32 0.00794501759160322 1
-117.87 32.48 875.188993055556 3.41 0.00439015627213519 1
-116.39 32.38 917.00287037037 3.21 0.0128603429121415 1
-119.69 34.98 950.50957175926 3.14 0.0155830196049936 1
-119.37 33.86 967.882916666667 3.39 0.00986461030570173 1
-121.31 35.83 970.526435185185 3.63 0.0126304503614476 1
-118.93 33.04 986.324224537037 3.16 0.0117964635316208 1
-116.76 35.89 1012.16469907407 3.23 0.0103245810570041 1
-116.55 32.11 1015.38819444444 3.05 0.0089421494713794 1
-121.92 36.53 1035.07398148148 3.28 0.0113556611863236 1
-120.88 36.01 1051.60241898148 3.3 0.0151454606173299 1
-117.33 35.97 1059.17472222222 3.86 0.0121719724334640 1
-116.42 34.81 1070.17966435185 5.06 0.016059918730647 1
-119.32 33.87 1071.65210648148 3.47 0.0123059819159712 1
-118.78 33.94 1095.461875 3.13 0.0148472293598503 1
-118.23 32.69 1124.36248842593 4.19 0.00575317764851094 1
-119.43 35.3 1142.04420138889 3.89 0.0156736279601852 1
-121.36 34.7 1148.75956018519 3.43 0.00532575487135256 1
