"Longitude" "Latitude" "dt" "Magnitude" "lambda" "type"
-120.95 35.31 3.99790509259259 3.13 0.00523232055711829 1
-115.89 32.15 8.6341898148148 3.11 0.0113827571732184 1
-119.81 34.24 35.6552546296296 3.3 0.0105825334424743 1
-115.88 32.06 44.4446643518518 3.1 0.0102096439288624 1
-117.56 35.12 61.5722800925926 3.71 0.00556687900007942 1
-119.39 33.79 65.3697916666667 3.13 0.00567411923446785 1
-118.26 32.83 70.2685416666667 3.21 0.00405040650403317 1
-117.64 35.93 72.6187268518518 3.15 0.0123323353876740 1
-116.22 32.87 78.719675925926 3.65 0.0151508280783925 1
-117.53 35.57 78.7828935185185 3.43 0.00975809702603823 1
-121.08 35.65 83.1813657407407 3.19 0.0138282598071263 1
-116.06 36.71 106.801979166667 3.29 0.000963388640628585 1
-117.34 32.63 127.967789351852 3.63 0.00472980334783497 1
-121.52 35.69 133.685277777778 3.53 0.0158424683528724 1
-116.3 32.1 151.779363425926 3.09 0.00472598569154573 1
-116.27 31.8 163.6040625 3.8 0.00470133717368486 1
-116.43 35.52 199.516203703704 3.49 0.00799148598334491 1
-117.48 33.73 203.624212962963 3.69 0.0122488077735392 1
-116.67 32.16 231.8225 3.13 0.00408623263319083 1
-120.78 35.47 237.32337962963 3.09 0.00523852575618891 1
-115.81 32.04 254.306423611111 3.1 0.00943368976367483 1
-117.68 35.94 283.413472222222 3.2 0.0138124332669265 1
-117.44 32.48 330.099340277778 3.06 0.00476693952014234 1
-120.75 35.63 331.171296296296 3.8 0.0155406818702165 1
-116.91 36.4 333.842326388889 3.26 0.00459451507044447 1
-117.5 36.83 349.179421296296 3.43 0.00354277225610292 1
-118.69 33.17 351.459560185185 3.24 0.00435778042118628 1
-118.33 36.3 364.035324074074 3.32 0.00501701456263597 1
-116.32 32.98 381.672083333333 3.81 0.0142400054937917 1
-121.38 35.78 415.698761574074 3.8 0.0138622732075820 1
-117.67 32.84 415.736284722222 3.16 0.00304780018857369 1
-119.87 37.07 419.708854166667 3.08 0.00958939509757343 1
-120.81 35.52 439.27087962963 3.06 0.00854465803493299 1
-117.7 35.83 450.403298611111 3.23 0.00896212757643666 1
-118.31 35.08 450.633912037037 3.19 0.0149756128620596 1
-117.95 34.18 458.435451388889 3.49 0.0132716448060004 1
-118.95 34.07 464.519027777778 3.48 0.0107853129958063 1
-119.93 34.22 477.131226851852 3.19 0.00961006998274434 1
-116.5 33.07 482.580069444444 3.56 0.0122994449587706 1
-118.22 32.74 528.087916666667 3.49 0.00407947529875877 1
-117.3 35.95 546.92818287037 3.1 0.00827531355549924 1
-116.95 34.99 566.958472222222 3.47 0.0109972881832099 1
-117.34 32.77 606.370231481481 3.52 0.00376624109656368 1
-115.82 32.19 614.255173611111 3.1 0.0146237173243320 1
-117.76 33 616.065763888889 3.95 0.00441838995445355 1
-115.8 35.77 634.974560185185 3.22 0.00162982680707237 1
-117.13 32.7 637.343668981482 3.1 0.00537568564768629 1
-118.23 33.56 646.756331018518 3.12 0.00804381219541353 1
-118.3 35.43 683.026064814815 3.06 0.00571765890236375 1
-119.65 34.39 685.1146875 3.43 0.0089322341559614 1
-116.55 33.17 694.194826388889 3.3 0.0137182470081386 1
-115.55 31.8 696.951064814815 4.1 0.00861886305403874 1
-120.84 35.57 704.163159722222 3.3 0.0116437659229948 1
-116.4 32.41 706.232349537037 3.15 0.00444565308744713 1
-115.75 31.91 716.909907407407 3.9 0.0081440566613669 1
-116.18 31.77 718.691238425926 4.5 0.00655955820043518 1
-118.55 35.34 740.503611111111 3.9 0.00966228584818786 1
-120.78 35.5 763.450914351852 3.07 0.0101262301172187 1
-117.51 32.37 765.377511574074 3.39 0.0047496253187068 1
-121.04 35.66 768.285543981482 3.14 0.0147492621488719 1
-117.73 35.96 776.497638888889 3.58 0.00858097720376979 1
-118.03 36.58 778.635787037037 3.77 0.00893754376314725 1
-118.92 33.02 779.011539351852 3.2 0.00370187689624122 1
-117.67 35.78 827.018761574074 3.59 0.0146221452072431 1
-115.53 31.84 832.641689814815 3.1 0.0152894517399426 1
-118.43 35.47 851.299803240741 4.43 0.00688058693317596 1
-117.31 36 851.828796296296 3.13 0.00913880145083352 1
-117.01 35.9 859.91636574074 3.32 0.0068830288754616 1
-117.35 35.27 870.08324074074 3.73 0.00591075762629932 1
-117.87 32.48 875.188993055556 3.41 0.00440320998555694 1
-116.3 31.83 899.24335648148 4.5 0.00866747018934885 1
-118.06 36.15 915.886238425926 3.4 0.0157541178721432 1
-116.39 32.38 917.00287037037 3.21 0.00754253352641763 1
-119.11 35.49 926.399814814815 3.15 0.00964108763116904 1
-119.37 33.86 967.882916666667 3.39 0.00868714056223839 1
-121.31 35.83 970.526435185185 3.63 0.0139173305313999 1
-118.93 33.04 986.324224537037 3.16 0.0115903484073699 1
-116.76 35.89 1012.16469907407 3.23 0.00536649850798022 1
-116.55 32.11 1015.38819444444 3.05 0.00415303060695364 1
-117.33 35.97 1059.17472222222 3.86 0.0122710592836730 1
-117.7 33.85 1060.7922337963 3.09 0.0155500829370074 1
-118.01 35.74 1063.46170138889 3.29 0.00462318046009078 1
-119.32 33.87 1071.65210648148 3.47 0.0111364786217869 1
-117.91 36.21 1073.15356481481 3.1 0.0114185433035953 1
-116.14 31.96 1090.81449074074 3.1 0.0055494990328147 1
-118.78 33.94 1095.461875 3.13 0.0053334204287095 1
-115.77 32.1 1111.57614583333 3.32 0.0155912827413509 1
-118.23 32.69 1124.36248842593 4.19 0.00419724233900037 1
-117.79 35.41 1126.8815162037 4.39 0.00967223457746363 1
-116.48 31.7 1166.6749537037 3.7 0.00383376048265522 1
-120.94 35.57 1188.87623842593 3.16 0.00892967148016257 1
-118.88 34.07 1217.00780092593 4.42 0.00991698358071784 1
-117.7 36.71 1217.9422337963 3.26 0.00626813038462738 1
-118.19 36.78 1229.63574074074 3.3 0.00900620021177675 1
-118.34 33.94 1233.11083333333 4.7 0.0159862342815667 1
-115.97 31.71 1233.76674768519 3.3 0.00508266249523793 1
-116.19 31.88 1235.89824074074 3.2 0.00694948819561608 1
-117.83 36.39 1238.86912037037 3.38 0.00863740593078837 1
-115.54 32.05 1256.69356481481 3.09 0.0147489375194059 1
-118.01 32.9 1266.0003587963 4.11 0.003945858874741 1
-120.95 35.64 1266.48111111111 4.39 0.0149267398397566 1
-117.55 32.74 1287.56578703704 3.92 0.00343305097123276 1
-117.62 35.73 1290.05738425926 3.77 0.0113885525543206 1
-117.4 36.01 1334.25584490741 3.59 0.0122997783524081 1
-120.8 35.56 1344.09787037037 3.81 0.0151679689891107 1
-115.97 31.63 1345.07644675926 3.6 0.00610010354788798 1
-120.53 34.53 1348.43244212963 3.83 0.00231837992856884 1
-117.42 35.41 1351.37115740741 3.37 0.00951278080908238 1
-116.19 32.03 1371.47774305556 3.59 0.00525797673841459 1
-114.55 35.96 1377.88465277778 3.85 0.000658951063644131 1
-119.14 34.16 1385.16232638889 3.19 0.0114894140232008 1
-119.3 33.17 1414.94822916667 4.35 0.00385490329232656 1
-117.27 35.55 1415.88994212963 4.6 0.00860996623650553 1
-117.87 32.92 1433.90204861111 3.48 0.00371255955566885 1
-116.66 32.19 1464.00159722222 3.81 0.0045308094323647 1
-117.48 35.71 1464.83888888889 3.39 0.0122976408502080 1
-116.36 32.99 1480.49429398148 3.37 0.0147821660175260 1
-117.53 32.05 1492.59708333333 4.4 0.00544135557063836 1
-115.69 32.05 1502.38583333333 3.09 0.0145972940453334 1
-116.59 32.24 1505.89986111111 4.45 0.0072054695302069 1
-115.82 31.83 1529.04017361111 3.9 0.0060942759864576 1
-118.08 33.99 1535.41944444444 4.44 0.0117001737435244 1
-120.71 34.54 1542.52864583333 3.09 0.00333826419477904 1
-120.42 33.94 1545.89853009259 3.44 0.00618144573901338 1
-116.62 31.82 1563.88984953704 3.1 0.00749337047768063 1
-120.28 33.78 1584.44329861111 3.4 0.00599071514445740 1
-118.36 35.53 1590.85341435185 3.85 0.00554859772935854 1
-119.04 34.08 1595.09653935185 3.9 0.0101365602120325 1
-115.57 33.83 1598.29861111111 3.54 0.00706473199644498 1
-120.55 33.88 1601.03106481481 3.05 0.00629635008415295 1
-117.61 32.21 1606.1199537037 3.74 0.00483791468567242 1
-118.44 33.86 1618.3452662037 3.53 0.0155158678521351 1
-118.6 35.2 1628.03061342593 3.37 0.0138254302481632 1
-117.18 31.99 1635.59115740741 3.7 0.00481348647416618 1
-117.71 36.1 1650.02136574074 3.15 0.0155775716128695 1
-120.43 34.72 1682.37144675926 3.65 0.00100265807874828 1
